name,geometry/lat,geometry/lng,place_id,types/0,types/1,types/2,types/3,types/4,user_ratings_total,vicinity,accident_loc,types_str,types/5,types/6
ADCB,24.4199555,54.4427919,ChIJgxOZTnJCXj4RCiWxtgl7Trs,bank,atm,finance,point_of_interest,establishment,20,"Area, AD1 building، Abu Dhabi National Exhibition Centre - Al Karamah Street - Abu Dhabi",شارع 33,bank_atm_finance_point_of_interest_establishment,,
ADCB,24.4199555,54.4427919,ChIJgxOZTnJCXj4RCiWxtgl7Trs,bank,atm,finance,point_of_interest,establishment,20,"Area, AD1 building، Abu Dhabi National Exhibition Centre - Al Karamah Street - Abu Dhabi",شارع 33,bank_atm_finance_point_of_interest_establishment,,
Abu Dhabi Islamic Bank (ADIB),24.4167133,54.4465982,ChIJhdKWh4poXj4RLxUAAj123xE,bank,finance,point_of_interest,establishment,,9,Al Khaleej Al Arabi Street - Abu Dhabi,شارع 33,bank_finance_point_of_interest_establishment,,
"ADCB, Abu Dhabi Exhibtion Center (ADNEC) Branch",24.4203988,54.4431912,ChIJdVKSywFDXj4Rd-eh1YJ-zws,bank,finance,point_of_interest,establishment,,1,"Ground Floor, AD One Tower - Al Karamah Street - Abu Dhabi",شارع 33,bank_finance_point_of_interest_establishment,,
Maї Café,24.4199995,54.441203,ChIJH8NX93NCXj4RVF6S_cmkQXs,bar,cafe,restaurant,food,point_of_interest,6,7 Al Muntada Street - Abu Dhabi,شارع 33,bar_cafe_restaurant_food_point_of_interest_establishment,establishment,
c.mondo,24.417752,54.44061,ChIJi_F-cnNCXj4RH9L8JmP_nMk,bar,point_of_interest,establishment,,,15,Capital Centre District Al Khaleej Al Arabi Street - أبو ظبي,شارع 33,bar_point_of_interest_establishment,,
Relax@12,24.4199376,54.4392704,ChIJ7SKRR3RCXj4Rbq3j71gjSEs,night_club,bar,restaurant,food,point_of_interest,160,"Aloft Abu Dhabi Hotel, Khaleej Alarabi Street, Adnec - أبو ظبي",شارع 33,night_club_bar_restaurant_food_point_of_interest_establishment,establishment,
Aquarius Pool Bar,24.4180747,54.4401916,ChIJQc85jD9DXj4RDancxFNol_E,bar,point_of_interest,establishment,,,2,Al Khaleej Al Arabi Street - Abu Dhabi,شارع 33,bar_point_of_interest_establishment,,
The Warehouse Wine & Tapas Bar,24.417944,54.439956,ChIJhUpFfMhDXj4RS3WwhInmADY,bar,restaurant,food,point_of_interest,establishment,156,Al Khaleej Al Arabi Street - Abu Dhabi,شارع 33,bar_restaurant_food_point_of_interest_establishment,,
W xyz bar,24.4201312,54.4393579,ChIJj8ng-XNCXj4RreysAALiArw,bar,restaurant,food,point_of_interest,establishment,12,"Aloft Hotel,Abu Dhabi National Exhibition Centre",شارع 33,bar_restaurant_food_point_of_interest_establishment,,
La dolce vita Beauty Lounge,24.4198133,54.4393188,ChIJWwW__3pDXj4ROuUJUpFFRic,beauty_salon,point_of_interest,establishment,,,1,CC9Q+WPG - Abu Dhabi,شارع 33,beauty_salon_point_of_interest_establishment,,
Maї Café,24.4199995,54.441203,ChIJH8NX93NCXj4RVF6S_cmkQXs,bar,cafe,restaurant,food,point_of_interest,6,7 Al Muntada Street - Abu Dhabi,شارع 33,bar_cafe_restaurant_food_point_of_interest_establishment,establishment,
Cups and Mills Cafe,24.4197325,54.4420926,ChIJEYdKujBmXj4RCO_e2fkZZ0Y,cafe,restaurant,food,point_of_interest,store,112,Centre - Al Muntada Street - Abu Dhabi,شارع 33,cafe_restaurant_food_point_of_interest_store_establishment,establishment,
Starbucks,24.4207649,54.4409682,ChIJC5kY43NCXj4RTvq5Zicn7Dg,cafe,food,point_of_interest,store,establishment,250,International Tower - Al Karamah Street - Abu Dhabi,شارع 33,cafe_food_point_of_interest_store_establishment,,
Costa Coffee,24.420286,54.440646,ChIJszUy73NCXj4RtMkcaIMs-MI,cafe,food,point_of_interest,store,establishment,22,"Ground Floor, Premier Inn Hotel, ADNEC",شارع 33,cafe_food_point_of_interest_store_establishment,,
c.deli,24.417762,54.440673,ChIJi_F-cnNCXj4RROo7FMTcdoQ,cafe,food,point_of_interest,establishment,,4,Arabian Gulf Street - Abu Dhabi,شارع 33,cafe_food_point_of_interest_establishment,,
Costa Coffee - Daman Health,24.418186,54.442907,ChIJCazgSS9DXj4RZmgAgWlUzpc,cafe,restaurant,food,point_of_interest,store,11,Daman Health Insurance Company Bldg - Tunb Al Kubra Street - Abu Dhabi,شارع 33,cafe_restaurant_food_point_of_interest_store_establishment,establishment,
SAM'S BOX,24.4206834,54.442136,ChIJs8dG5CFmXj4Rw6lOVl2xOwI,cafe,restaurant,food,point_of_interest,establishment,166,Capital House - Al Karamah Street - Abu Dhabi,شارع 33,cafe_restaurant_food_point_of_interest_establishment,,
SLA Cafe,24.4217537,54.4437937,ChIJY8-VfA1DXj4R3XkQ06D2zEg,cafe,restaurant,food,point_of_interest,establishment,168,Al Aryaf Building - Tunb Al Kubra Street - Abu Dhabi,شارع 33,cafe_restaurant_food_point_of_interest_establishment,,
بالمز كافيه,24.4182398,54.4425403,ChIJ4Q000zNDXj4RIgwmOudWyWA,cafe,food,point_of_interest,store,establishment,1,36 Al Zumurrud Street - Abu Dhabi,شارع 33,cafe_food_point_of_interest_store_establishment,,
Cafteaia Town Cube,24.4179711,54.4423445,ChIJk9b1z5hDXj4R63Aj60dbxjE,cafe,food,point_of_interest,store,establishment,1,CC9R+5WQ - Abu Dhabi,شارع 33,cafe_food_point_of_interest_store_establishment,,
Palms Cafe,24.417341,54.4419906,ChIJOQQ2Wh5DXj4R1UNM74615DY,cafe,food,point_of_interest,store,establishment,74,36 Al Zumurrud Street - Abu Dhabi,شارع 33,cafe_food_point_of_interest_store_establishment,,
Starbucks,24.420753,54.4405655,ChIJOVuz_H9DXj4Rc613VPXydck,cafe,food,point_of_interest,establishment,,10,66 شارع - Al Mu-Atamarat Street - Abu Dhabi,شارع 33,cafe_food_point_of_interest_establishment,,
Aroma Lobby Lounge,24.4184077,54.4405039,ChIJP0mtuUxDXj4RVh5cUYQ_7eg,cafe,food,point_of_interest,establishment,,1,Capital Centre Arjaan by Rotana - Al Khaleej Al Arabi Street - Abu Dhabi,شارع 33,cafe_food_point_of_interest_establishment,,
Abu Dhabi Judicial Department,24.4170264,54.4460079,ChIJdV4wckNmXj4RzloZJ662pYI,courthouse,point_of_interest,establishment,,,40,Baniyas Najda Street - Abu Dhabi,شارع 33,courthouse_point_of_interest_establishment,,
Abu Dhabi Judicial Department ( Abu Dhabi Court of First Instance & Abu Dhabi Appeal Court ),24.4168477,54.4474898,ChIJJ27frBJCXj4RltK26LESZWI,courthouse,point_of_interest,establishment,,,181,Al Khaleej Al Arabi Street - Abu Dhabi,شارع 33,courthouse_point_of_interest_establishment,,
Remand Abu Dhabi courts,24.4164832,54.4469568,ChIJsxVa7BJCXj4RSQyUP1jJYzg,courthouse,point_of_interest,establishment,,,2,W58,شارع 33,courthouse_point_of_interest_establishment,,
International Center for Dental Excellence,24.4176205,54.4408457,ChIJWZ5oa3NCXj4RlFhbr1zWenU,dentist,doctor,health,point_of_interest,establishment,1835,Centro Business Tower 7th Floor - Abu Dhabi,شارع 33,dentist_doctor_health_point_of_interest_establishment,,
LuLu Xpress - Y Tower,24.4177812,54.4422453,ChIJ_00zdapDXj4RUPsmtmFpZnA,supermarket,department_store,grocery_or_supermarket,food,point_of_interest,57,Al Zumurrud Street - Abu Dhabi,شارع 33,supermarket_department_store_grocery_or_supermarket_food_point_of_interest_store_establishment,store,establishment
